title,box_off_num
밀월도 가는 길,73868.6233046761
파파,603694.7033008133
점박이:한반도의 공룡3D,208425.6386815525
댄싱퀸,3362467.2752067605
누구의 딸도 아닌 해원,36641.29917247307
신세계,3834522.9003010555
굿바이 홈런,161616.5694588784
불륜의 시대,48023.60104158084
남쪽으로 튀어,1671341.0543787745
좋은 친구들,2012977.781409591
지슬 - 끝나지 않은 세월 2,208072.02354297996
누구나 제 명에 죽고 싶다,139415.18156258424
사이코메트리,624652.6759130477
환상속의 그대,546382.0185378208
몽타주,1757633.9457185604
"힘내세요, 병헌씨",236686.6809560724
꼭두각시,232400.67484826833
홀리,60625.376121778354
마이 라띠마,1118062.311277525
더 테러 라이브,1087959.4362991678
슈퍼피쉬 - 끝없는 여정,53213.06620398488
콩가네,589934.0607993794
허풍,139751.87899716053
젊은 엄마,25797.27980413543
노라노,108332.5159213877
노브레싱,195488.9974237953
말하는 건축 시티:홀,485066.78645260225
댄서김의 은밀한 교수법,44818.578703355815
소원,613089.228920084
고양이 소녀,116167.157766076
롤플레이 2 : 동침,44818.578703355815
동창생,911901.3766306136
용의자,4663431.332129695
미녀전쟁,120712.21300429253
캐치미,713620.3411226623
그 강아지 그 고양이,107833.52999141281
화려한 외출,157155.57115719427
오하이오 삿포로,44818.578703355815
마이 리틀 히어로,3351261.7123357947
박수건달,3911523.798615894
배꼽,108193.59464939967
나가요 미스콜,142863.98334222948
우아한 거짓말,1519563.9410010814
미스터 컴퍼니,114787.87774062832
우리별 일호와 얼룩소,121387.10856970967
찌라시: 위험한 소문,1740093.2775503173
조선미녀삼총사,680779.4948733246
만찬,1899153.530613854
한 번도 안 해본 여자,148731.98649742935
살인자,186939.32651573635
  이것이 우리의 끝이다,240282.54128798266
그댄 나의 뱀파이어,128005.82117378774
황제를 위하여,888375.1441250512
레디액션! 폭력영화,138933.7003457696
스퀴시랜드,206905.18805205912
우는 남자,2430244.3568582726
하이힐,2452004.085969974
도희야,168733.5476061448
표적,1465471.6055255022
10분,109742.09861202906
메이크 유어 무브,655505.445681509
카토 프로젝트,44499.26790811207
녀녀녀,130677.52838494699
방황하는 칼날,2660481.641846673
바리새인,76743.50504061009
욕망의 독: 중독,162759.77457965916
설계,180694.92471420366
레쓰링,146927.80438339023
원 컷 - 어느 친절한 살인자의 기록,261007.87840039778
픽업 아티스트,242384.09953253152
옹녀뎐,49598.95682279605
왓니껴,577264.4278672511
족구왕,247342.57053936418
내 연애의 기억,134456.00663522212
바세코의 아이들,59965.72047766638
명량,4493151.060592087
군도: 민란의 시대,3550558.501448866
산타바바라,97946.1744368482
나는 야한 여자가 좋다,31056.075473086945
숙희,60095.7983957056
더 테너 리리코 스핀토,276202.6056684263
기술자들,2224353.12772842
신화 라이브 3D 더 레전드 컨티뉴스,215554.15149640484
악사들,124755.62154388432
울언니,91424.1608233465
정사: 위험한 성적유희,162329.50064008118
레디액션 청춘,3461481.0918407836
"제자, 옥한흠",92505.05083321704
환상,62860.61375392218
위층여자,55380.71609033663
가자! 장미여관으로 3 - 방황,180176.55072654423
나는 야한 여자가 좋다 3,31056.075473086945
스물,2291665.4349293844
그라운드의 이방인,385536.81509199954
살인의뢰,1742657.10395336
살인캠프,155002.49525192275
헬머니,785906.2437855635
조류인간,205521.68498663936
최강전사 미니특공대 : 새로운 악당의 습격,121500.60677660242
생각보다 맑은,110403.76843879526
고양이 장례식,162282.66591669162
설해,681917.1953991499
나의 절친 악당들,774050.2280883882
연평해전,2900783.362625567
극비수사,278017.67399196635
성난 화가,151165.27315659387
은밀한 유혹,1110278.7746849123
혜경궁 홍씨,801788.6168531948
무뢰한,2184111.15907382
간신,5322059.492420726
연애의 맛,1107186.6836027156
잡식가족의 딜레마,89942.52745373067
플랑크 상수,58191.69037344404
장수상회,1432543.0252910713
파울볼,70615.99068446082
춘희막이,47390.999024288394
덫: 치명적인 유혹,547321.1782568448
션샤인 러브,232400.67484826833
사도,3270837.1985074235
돼지 같은 여자,59354.16023039228
사랑이 이긴다,78062.55393679623
슈퍼레이서 엔지,1450562.0124726437
제 7기사단,353141.4721796152
고백,66509.86260094738
미쓰 와이프,3592361.597126628
위로공단,114700.21519818413
베테랑,3975381.6332345717
악인은 살아 있다,228944.8424444018
쓰리 썸머 나잇,655818.0838062995
마돈나,467002.3775773306
"나의 아들, 나의 어머니",193629.51869131112
슬픈남자,124603.56120083811
타이밍,129195.34287959561
타투,230345.2241873333
어떤이의 꿈,77098.88253766937
해에게서 소년에게,94940.46984072948
울보 권투부,212586.32985555573
어떤살인,385758.9097595503
말하지 못한 비밀,64086.12492972661
조선안방 스캔들-칠거지악 2,43582.5135869618
